firm,type,share_percent
APPLE INC.,"Public authority, state, government",0.21
APPLE INC.,Corporate,0.21
APPLE INC.,Bank,0.19
APPLE INC.,Financial company,0.19
APPLE INC.,Insurance company,0.19
APPLE INC.,Insurance company,0.18
APPLE INC.,"Public authority, state, government",0.18
APPLE INC.,"Mutual and pension fund, nominee, trust, trustee",0.18
APPLE INC.,Bank,0.17
APPLE INC.,Insurance company,0.17
APPLE INC.,Insurance company,0.17
APPLE INC.,Bank,0.16
APPLE INC.,"Mutual and pension fund, nominee, trust, trustee",0.16
APPLE INC.,Bank,0.15
APPLE INC.,Insurance company,0.15
APPLE INC.,Bank,0.15
APPLE INC.,Financial company,0.15
APPLE INC.,Bank,0.15
APPLE INC.,Bank,0.15
APPLE INC.,Bank,0.14
APPLE INC.,"Public authority, state, government",0.14
APPLE INC.,Bank,0.13
APPLE INC.,Bank,0.13
APPLE INC.,Bank,0.13
APPLE INC.,Bank,0.13
APPLE INC.,"Public authority, state, government",0.13
APPLE INC.,"Public authority, state, government",0.13
APPLE INC.,"Mutual and pension fund, nominee, trust, trustee",0.13
APPLE INC.,Bank,0.12
APPLE INC.,"Public authority, state, government",0.12
APPLE INC.,Private equity firm,0.12
APPLE INC.,"Mutual and pension fund, nominee, trust, trustee",0.12
APPLE INC.,Bank,0.11
APPLE INC.,Bank,0.11
APPLE INC.,Bank,0.11
APPLE INC.,Private equity firm,0.11
APPLE INC.,Corporate,0.11
APPLE INC.,Corporate,0.11
APPLE INC.,Bank,0.10
APPLE INC.,"Public authority, state, government",0.10
APPLE INC.,Financial company,0.10
APPLE INC.,"Mutual and pension fund, nominee, trust, trustee",0.10
APPLE INC.,Corporate,0.10
APPLE INC.,Insurance company,0.10
CVS HEALTH CORPORATION,Financial company,8.19
CVS HEALTH CORPORATION,Bank,7.66
CVS HEALTH CORPORATION,Bank,4.45
CVS HEALTH CORPORATION,Corporate,3.92
CVS HEALTH CORPORATION,Corporate,2.12
CVS HEALTH CORPORATION,Bank,1.77
CVS HEALTH CORPORATION,Bank,1.62
CVS HEALTH CORPORATION,Bank,1.56
CVS HEALTH CORPORATION,"Mutual and pension fund, nominee, trust, trustee",1.50
CVS HEALTH CORPORATION,Bank,1.37
CVS HEALTH CORPORATION,Corporate,1.37
CVS HEALTH CORPORATION,Corporate,1.22
CVS HEALTH CORPORATION,Bank,1.19
CVS HEALTH CORPORATION,Bank,1.10
CVS HEALTH CORPORATION,"Public authority, state, government",1.03
CVS HEALTH CORPORATION,Bank,1.01
CVS HEALTH CORPORATION,Bank,0.99
CVS HEALTH CORPORATION,Corporate,0.95
CVS HEALTH CORPORATION,Bank,0.94
CVS HEALTH CORPORATION,Bank,0.87
CVS HEALTH CORPORATION,Bank,0.87
CVS HEALTH CORPORATION,Bank,0.84
CVS HEALTH CORPORATION,Bank,0.83
CVS HEALTH CORPORATION,Bank,0.83
CVS HEALTH CORPORATION,Financial company,0.76
CVS HEALTH CORPORATION,Corporate,0.75
CVS HEALTH CORPORATION,Insurance company,0.67
CVS HEALTH CORPORATION,Insurance company,0.66
CVS HEALTH CORPORATION,Bank,0.65
CVS HEALTH CORPORATION,Bank,0.64
CVS HEALTH CORPORATION,Financial company,0.64
CVS HEALTH CORPORATION,Bank,0.60
CVS HEALTH CORPORATION,Financial company,0.60
CVS HEALTH CORPORATION,"Public authority, state, government",0.57
CVS HEALTH CORPORATION,Bank,0.55
CVS HEALTH CORPORATION,Bank,0.43
CVS HEALTH CORPORATION,"Public authority, state, government",0.42
CVS HEALTH CORPORATION,Bank,0.41
CVS HEALTH CORPORATION,Bank,0.39
CVS HEALTH CORPORATION,Financial company,0.39
CVS HEALTH CORPORATION,Bank,0.37
CVS HEALTH CORPORATION,Bank,0.37
CVS HEALTH CORPORATION,Bank,0.34
CVS HEALTH CORPORATION,Bank,0.33
CVS HEALTH CORPORATION,Financial company,0.33
CVS HEALTH CORPORATION,Financial company,0.28
CVS HEALTH CORPORATION,Bank,0.27
CVS HEALTH CORPORATION,Financial company,0.27
CVS HEALTH CORPORATION,Bank,0.26
CVS HEALTH CORPORATION,Private equity firm,0.26
CVS HEALTH CORPORATION,"Mutual and pension fund, nominee, trust, trustee",0.26
CVS HEALTH CORPORATION,"Public authority, state, government",0.24
CVS HEALTH CORPORATION,Financial company,0.24
CVS HEALTH CORPORATION,Bank,0.23
CVS HEALTH CORPORATION,Bank,0.23
CVS HEALTH CORPORATION,Corporate,0.23
CVS HEALTH CORPORATION,Bank,0.22
CVS HEALTH CORPORATION,Bank,0.20
CVS HEALTH CORPORATION,"Mutual and pension fund, nominee, trust, trustee",0.20
CVS HEALTH CORPORATION,"Mutual and pension fund, nominee, trust, trustee",0.20
CVS HEALTH CORPORATION,Bank,0.19
CVS HEALTH CORPORATION,Financial company,0.19
CVS HEALTH CORPORATION,Bank,0.18
CVS HEALTH CORPORATION,Corporate,0.18
CVS HEALTH CORPORATION,"Public authority, state, government",0.18
CVS HEALTH CORPORATION,Bank,0.17
CVS HEALTH CORPORATION,Bank,0.17
CVS HEALTH CORPORATION,Corporate,0.17
CVS HEALTH CORPORATION,Bank,0.17
CVS HEALTH CORPORATION,Bank,0.17
CVS HEALTH CORPORATION,Bank,0.16
CVS HEALTH CORPORATION,Private equity firm,0.16
CVS HEALTH CORPORATION,Insurance company,0.16
CVS HEALTH CORPORATION,Insurance company,0.16
CVS HEALTH CORPORATION,Corporate,0.16
CVS HEALTH CORPORATION,"Public authority, state, government",0.15
CVS HEALTH CORPORATION,Bank,0.15
CVS HEALTH CORPORATION,Bank,0.15
CVS HEALTH CORPORATION,Financial company,0.15
CVS HEALTH CORPORATION,"Public authority, state, government",0.15
CVS HEALTH CORPORATION,Financial company,0.15
CVS HEALTH CORPORATION,Corporate,0.15
CVS HEALTH CORPORATION,Insurance company,0.15
CVS HEALTH CORPORATION,Bank,0.14
CVS HEALTH CORPORATION,"Public authority, state, government",0.14
CVS HEALTH CORPORATION,"Public authority, state, government",0.14
CVS HEALTH CORPORATION,Corporate,0.14
CVS HEALTH CORPORATION,Bank,0.13
CVS HEALTH CORPORATION,Insurance company,0.13
CVS HEALTH CORPORATION,Bank,0.13
CVS HEALTH CORPORATION,Financial company,0.13
CVS HEALTH CORPORATION,"Public authority, state, government",0.13
CVS HEALTH CORPORATION,Financial company,0.13
CVS HEALTH CORPORATION,Bank,0.12
CVS HEALTH CORPORATION,Insurance company,0.12
CVS HEALTH CORPORATION,Private equity firm,0.12
CVS HEALTH CORPORATION,Financial company,0.12
CVS HEALTH CORPORATION,Insurance company,0.12
CVS HEALTH CORPORATION,Insurance company,0.11
CVS HEALTH CORPORATION,Insurance company,0.11
CVS HEALTH CORPORATION,Bank,0.11
CVS HEALTH CORPORATION,Bank,0.11
CVS HEALTH CORPORATION,"Public authority, state, government",0.11
CVS HEALTH CORPORATION,Corporate,0.11
CVS HEALTH CORPORATION,Financial company,0.11
CVS HEALTH CORPORATION,"Mutual and pension fund, nominee, trust, trustee",0.11
CVS HEALTH CORPORATION,Corporate,0.11
CVS HEALTH CORPORATION,Corporate,0.10
CVS HEALTH CORPORATION,Financial company,0.10
CVS HEALTH CORPORATION,Corporate,0.10
CVS HEALTH CORPORATION,Bank,0.10
CVS HEALTH CORPORATION,"Public authority, state, government",0.10
CVS HEALTH CORPORATION,Financial company,0.10
AMERISOURCEBERGEN CORP,Corporate,27.70
AMERISOURCEBERGEN CORP,Bank,3.59
AMERISOURCEBERGEN CORP,Bank,3.17
AMERISOURCEBERGEN CORP,Bank,2.60
AMERISOURCEBERGEN CORP,Corporate,1.71
AMERISOURCEBERGEN CORP,Financial company,1.59
AMERISOURCEBERGEN CORP,Corporate,1.52
AMERISOURCEBERGEN CORP,Corporate,1.43
AMERISOURCEBERGEN CORP,"Mutual and pension fund, nominee, trust, trustee",1.23
AMERISOURCEBERGEN CORP,Bank,1.18
AMERISOURCEBERGEN CORP,Corporate,1.15
AMERISOURCEBERGEN CORP,Bank,1.10
AMERISOURCEBERGEN CORP,Financial company,1.06
AMERISOURCEBERGEN CORP,"Mutual and pension fund, nominee, trust, trustee",0.95
AMERISOURCEBERGEN CORP,Financial company,0.87
AMERISOURCEBERGEN CORP,Bank,0.86
AMERISOURCEBERGEN CORP,Corporate,0.85
AMERISOURCEBERGEN CORP,Venture capital,0.85
AMERISOURCEBERGEN CORP,"Public authority, state, government",0.83
AMERISOURCEBERGEN CORP,Corporate,0.81
AMERISOURCEBERGEN CORP,Bank,0.63
AMERISOURCEBERGEN CORP,Corporate,0.62
AMERISOURCEBERGEN CORP,Bank,0.61
AMERISOURCEBERGEN CORP,Corporate,0.61
AMERISOURCEBERGEN CORP,"Mutual and pension fund, nominee, trust, trustee",0.61
AMERISOURCEBERGEN CORP,Financial company,0.60
AMERISOURCEBERGEN CORP,"Mutual and pension fund, nominee, trust, trustee",0.59
AMERISOURCEBERGEN CORP,Insurance company,0.56
AMERISOURCEBERGEN CORP,Bank,0.56
AMERISOURCEBERGEN CORP,Bank,0.54
AMERISOURCEBERGEN CORP,Financial company,0.54
AMERISOURCEBERGEN CORP,Bank,0.50
AMERISOURCEBERGEN CORP,Corporate,0.47
AMERISOURCEBERGEN CORP,Bank,0.46
AMERISOURCEBERGEN CORP,Bank,0.45
AMERISOURCEBERGEN CORP,Bank,0.45
AMERISOURCEBERGEN CORP,Financial company,0.45
AMERISOURCEBERGEN CORP,Bank,0.43
AMERISOURCEBERGEN CORP,"Mutual and pension fund, nominee, trust, trustee",0.41
AMERISOURCEBERGEN CORP,"Mutual and pension fund, nominee, trust, trustee",0.38
AMERISOURCEBERGEN CORP,Corporate,0.38
AMERISOURCEBERGEN CORP,Financial company,0.38
AMERISOURCEBERGEN CORP,Bank,0.37
AMERISOURCEBERGEN CORP,Corporate,0.37
AMERISOURCEBERGEN CORP,Insurance company,0.36
AMERISOURCEBERGEN CORP,Insurance company,0.36
AMERISOURCEBERGEN CORP,Bank,0.36
AMERISOURCEBERGEN CORP,Financial company,0.35
AMERISOURCEBERGEN CORP,"Mutual and pension fund, nominee, trust, trustee",0.34
AMERISOURCEBERGEN CORP,Financial company,0.33
AMERISOURCEBERGEN CORP,"Public authority, state, government",0.30
AMERISOURCEBERGEN CORP,Financial company,0.30
AMERISOURCEBERGEN CORP,Corporate,0.30
AMERISOURCEBERGEN CORP,Bank,0.29
AMERISOURCEBERGEN CORP,Bank,0.29
AMERISOURCEBERGEN CORP,"Public authority, state, government",0.28
AMERISOURCEBERGEN CORP,Insurance company,0.28
AMERISOURCEBERGEN CORP,Financial company,0.25
AMERISOURCEBERGEN CORP,Bank,0.24
AMERISOURCEBERGEN CORP,Financial company,0.24
AMERISOURCEBERGEN CORP,Bank,0.23
AMERISOURCEBERGEN CORP,Corporate,0.23
AMERISOURCEBERGEN CORP,Bank,0.21
AMERISOURCEBERGEN CORP,"Public authority, state, government",0.20
AMERISOURCEBERGEN CORP,Bank,0.20
AMERISOURCEBERGEN CORP,"Mutual and pension fund, nominee, trust, trustee",0.20
AMERISOURCEBERGEN CORP,Bank,0.19
AMERISOURCEBERGEN CORP,Bank,0.19
AMERISOURCEBERGEN CORP,"Public authority, state, government",0.18
AMERISOURCEBERGEN CORP,Corporate,0.18
AMERISOURCEBERGEN CORP,Bank,0.17
AMERISOURCEBERGEN CORP,Bank,0.17
AMERISOURCEBERGEN CORP,Insurance company,0.17
AMERISOURCEBERGEN CORP,Bank,0.17
AMERISOURCEBERGEN CORP,"Public authority, state, government",0.17
AMERISOURCEBERGEN CORP,Private equity firm,0.17
AMERISOURCEBERGEN CORP,Corporate,0.16
AMERISOURCEBERGEN CORP,Financial company,0.16
AMERISOURCEBERGEN CORP,Bank,0.16
AMERISOURCEBERGEN CORP,"Mutual and pension fund, nominee, trust, trustee",0.16
AMERISOURCEBERGEN CORP,Financial company,0.16
AMERISOURCEBERGEN CORP,"Mutual and pension fund, nominee, trust, trustee",0.16
AMERISOURCEBERGEN CORP,Financial company,0.16
AMERISOURCEBERGEN CORP,Financial company,0.15
AMERISOURCEBERGEN CORP,"Mutual and pension fund, nominee, trust, trustee",0.15
AMERISOURCEBERGEN CORP,Bank,0.15
AMERISOURCEBERGEN CORP,Corporate,0.15
AMERISOURCEBERGEN CORP,Financial company,0.15
AMERISOURCEBERGEN CORP,Corporate,0.15
AMERISOURCEBERGEN CORP,Corporate,0.15
AMERISOURCEBERGEN CORP,Bank,0.14
AMERISOURCEBERGEN CORP,"Public authority, state, government",0.14
AMERISOURCEBERGEN CORP,Bank,0.14
AMERISOURCEBERGEN CORP,"Mutual and pension fund, nominee, trust, trustee",0.14
AMERISOURCEBERGEN CORP,Financial company,0.14
AMERISOURCEBERGEN CORP,Insurance company,0.14
AMERISOURCEBERGEN CORP,Insurance company,0.14
AMERISOURCEBERGEN CORP,"Mutual and pension fund, nominee, trust, trustee",0.13
AMERISOURCEBERGEN CORP,"Public authority, state, government",0.13
AMERISOURCEBERGEN CORP,Bank,0.13
AMERISOURCEBERGEN CORP,"Public authority, state, government",0.13
AMERISOURCEBERGEN CORP,Private equity firm,0.13
AMERISOURCEBERGEN CORP,"Public authority, state, government",0.12
AMERISOURCEBERGEN CORP,"Public authority, state, government",0.12
AMERISOURCEBERGEN CORP,Bank,0.12
AMERISOURCEBERGEN CORP,Bank,0.12
AMERISOURCEBERGEN CORP,Insurance company,0.12
AMERISOURCEBERGEN CORP,Corporate,0.12
AMERISOURCEBERGEN CORP,Insurance company,0.12
AMERISOURCEBERGEN CORP,Bank,0.11
AMERISOURCEBERGEN CORP,Bank,0.11
AMERISOURCEBERGEN CORP,Bank,0.11
AMERISOURCEBERGEN CORP,Insurance company,0.11
AMERISOURCEBERGEN CORP,Bank,0.11
AMERISOURCEBERGEN CORP,Bank,0.11
AMERISOURCEBERGEN CORP,"Mutual and pension fund, nominee, trust, trustee",0.11
AMERISOURCEBERGEN CORP,"Public authority, state, government",0.11
AMERISOURCEBERGEN CORP,Financial company,0.11
AMERISOURCEBERGEN CORP,"Mutual and pension fund, nominee, trust, trustee",0.11
AMERISOURCEBERGEN CORP,Bank,0.10
AMERISOURCEBERGEN CORP,Bank,0.10
AMERISOURCEBERGEN CORP,"Mutual and pension fund, nominee, trust, trustee",0.10
AMERISOURCEBERGEN CORP,"Public authority, state, government",0.10
ALPHABET INC.,One or more named individuals or families,n.a.
ALPHABET INC.,Financial company,6.76
ALPHABET INC.,One or more named individuals or families,5.15
ALPHABET INC.,Bank,3.53
ALPHABET INC.,Corporate,2.99
ALPHABET INC.,Bank,2.87
ALPHABET INC.,Bank,n.a.
ALPHABET INC.,Corporate,2.50
ALPHABET INC.,One or more named individuals or families,n.a.
ALPHABET INC.,"Mutual and pension fund, nominee, trust, trustee",1.36
ALPHABET INC.,Bank,1.19
ALPHABET INC.,Bank,1.07
ALPHABET INC.,"Public authority, state, government",1.02
ALPHABET INC.,Corporate,0.91
ALPHABET INC.,Bank,0.88
ALPHABET INC.,Bank,0.84
ALPHABET INC.,Corporate,0.83
ALPHABET INC.,Bank,0.78
ALPHABET INC.,Bank,0.71
ALPHABET INC.,Insurance company,0.62
ALPHABET INC.,Bank,0.57
ALPHABET INC.,Insurance company,0.56
ALPHABET INC.,Insurance company,0.55
ALPHABET INC.,Financial company,0.55
ALPHABET INC.,"Mutual and pension fund, nominee, trust, trustee",0.53
ALPHABET INC.,Bank,0.52
ALPHABET INC.,Bank,0.50
ALPHABET INC.,Bank,0.50
ALPHABET INC.,Bank,0.48
ALPHABET INC.,Financial company,0.45
ALPHABET INC.,Bank,0.43
ALPHABET INC.,Bank,0.42
ALPHABET INC.,Bank,0.41
ALPHABET INC.,Bank,0.41
ALPHABET INC.,Corporate,0.41
ALPHABET INC.,Corporate,0.40
ALPHABET INC.,Bank,0.38
ALPHABET INC.,Bank,0.38
ALPHABET INC.,Corporate,0.38
ALPHABET INC.,Bank,0.38
ALPHABET INC.,"Public authority, state, government",0.37
ALPHABET INC.,Insurance company,0.37
ALPHABET INC.,Corporate,0.35
ALPHABET INC.,Bank,0.34
ALPHABET INC.,Financial company,0.32
ALPHABET INC.,Financial company,0.31
ALPHABET INC.,Bank,0.31
ALPHABET INC.,Corporate,0.30
ALPHABET INC.,Bank,0.30
ALPHABET INC.,"Mutual and pension fund, nominee, trust, trustee",0.30
ALPHABET INC.,Bank,0.28
ALPHABET INC.,Financial company,0.28
ALPHABET INC.,Bank,0.26
ALPHABET INC.,Financial company,0.25
ALPHABET INC.,Bank,0.24
ALPHABET INC.,Bank,0.23
ALPHABET INC.,Corporate,0.23
ALPHABET INC.,Bank,0.22
ALPHABET INC.,Corporate,0.22
ALPHABET INC.,Bank,0.21
ALPHABET INC.,Corporate,0.21
ALPHABET INC.,"Public authority, state, government",0.20
ALPHABET INC.,"Public authority, state, government",0.20
ALPHABET INC.,Bank,0.20
ALPHABET INC.,Insurance company,0.19
ALPHABET INC.,Financial company,0.19
ALPHABET INC.,Financial company,0.19
ALPHABET INC.,Bank,0.18
ALPHABET INC.,Bank,0.18
ALPHABET INC.,Corporate,0.18
ALPHABET INC.,Bank,0.17
ALPHABET INC.,Corporate,0.17
ALPHABET INC.,Financial company,0.17
ALPHABET INC.,Insurance company,0.16
ALPHABET INC.,"Public authority, state, government",0.16
ALPHABET INC.,Bank,0.16
ALPHABET INC.,"Mutual and pension fund, nominee, trust, trustee",0.16
ALPHABET INC.,"Mutual and pension fund, nominee, trust, trustee",0.16
ALPHABET INC.,Bank,0.15
ALPHABET INC.,Insurance company,0.15
ALPHABET INC.,Bank,0.15
ALPHABET INC.,Insurance company,0.15
ALPHABET INC.,"Mutual and pension fund, nominee, trust, trustee",0.15
ALPHABET INC.,"Mutual and pension fund, nominee, trust, trustee",0.15
ALPHABET INC.,Corporate,0.15
ALPHABET INC.,"Mutual and pension fund, nominee, trust, trustee",0.15
ALPHABET INC.,Bank,0.14
ALPHABET INC.,Bank,0.14
ALPHABET INC.,Bank,0.14
ALPHABET INC.,"Public authority, state, government",0.14
ALPHABET INC.,Bank,0.13
ALPHABET INC.,Bank,0.13
ALPHABET INC.,Private equity firm,0.13
ALPHABET INC.,Financial company,0.12
ALPHABET INC.,Bank,0.12
ALPHABET INC.,Bank,0.12
ALPHABET INC.,"Public authority, state, government",0.12
ALPHABET INC.,"Public authority, state, government",0.12
ALPHABET INC.,Corporate,0.12
ALPHABET INC.,Insurance company,0.12
ALPHABET INC.,Corporate,0.11
ALPHABET INC.,Insurance company,0.11
ALPHABET INC.,"Public authority, state, government",0.11
ALPHABET INC.,Corporate,0.11
ALPHABET INC.,Corporate,0.11
ALPHABET INC.,Financial company,0.11
ALPHABET INC.,"Public authority, state, government",0.10
ALPHABET INC.,"Mutual and pension fund, nominee, trust, trustee",0.10
ALPHABET INC.,Bank,0.10
ALPHABET INC.,Bank,0.10
ALPHABET INC.,Private equity firm,0.10
ALPHABET INC.,"Public authority, state, government",0.10
ALPHABET INC.,Corporate,0.10
EXXON MOBIL CORP,Financial company,8.53
EXXON MOBIL CORP,Bank,6.68
EXXON MOBIL CORP,Bank,5.36
EXXON MOBIL CORP,Corporate,1.69
EXXON MOBIL CORP,"Mutual and pension fund, nominee, trust, trustee",1.50
EXXON MOBIL CORP,Bank,1.31
EXXON MOBIL CORP,Bank,1.18
EXXON MOBIL CORP,"Public authority, state, government",1.05
EXXON MOBIL CORP,Corporate,1.03
EXXON MOBIL CORP,Bank,0.86
EXXON MOBIL CORP,Bank,0.81
EXXON MOBIL CORP,Insurance company,0.79
EXXON MOBIL CORP,Bank,0.75
EXXON MOBIL CORP,Bank,0.68
EXXON MOBIL CORP,Financial company,0.65
EXXON MOBIL CORP,Insurance company,0.61
EXXON MOBIL CORP,Corporate,0.58
EXXON MOBIL CORP,Bank,0.57
EXXON MOBIL CORP,Bank,0.54
EXXON MOBIL CORP,Corporate,0.51
EXXON MOBIL CORP,"Public authority, state, government",0.42
EXXON MOBIL CORP,Bank,0.41
EXXON MOBIL CORP,Bank,0.40
