Firm,Industry,Sector,Collector ,Privacy policy exists,Existence of a transparency report,Contact option,Legislation complied with,Third party sharing,Existence of a Data Protection Officer,ISO type,Comment,Privacy Policy URL,Privacy Policy URL corrected
Kinder Morgan,Pipelines,Energy,Beatriz,1,0,0,standard,0,0,0,,https://pipeportal.kindermorgan.com/PortalUI/PrivacyPolicy.aspx?TSP=SNGD,
DTE Energy,Utilities: Gas and Electric,Energy,Beatriz,1,0,0,standard,0,0,0,,https://newlook.dteenergy.com/wps/wcm/connect/dte-web/quicklinks/footer/customer+data+privacy+policy,
Consolidated Edison,Utilities: Gas and Electric,Energy,Beatriz,1,0,1,standard,1,1,0,,https://www.coned.com/en/conedison-privacy-statement,
Sempra Energy,Electric and Gas Utilities,Energy,Beatriz,1,0,1,standard,1,1,0,,https://www.sempra.com/privacy,
Edison International,Utilities: Gas and Electric,Energy,Beatriz,1,0,1,standard,1,1,0,,https://www.edison.com/home/privacy-notice.html,
CenterPoint Energy,Utilities: Gas and Electric,Energy,Beatriz,1,0,1,standard,1,1,0,,https://www.centerpointenergy.com/en-us/corporate/legal/privacy-policy,
Vistra Energy,Energy,Energy,Beatriz,1,0,1,standard,1,1,0,,https://www.vistracorp.com/privacy-policy/,
Xcel Energy,Electric and Gas Utilities,Energy,Beatriz,1,0,0,standard,1,1,1,contact option is not regarding privacy policy,https://www.xcelenergy.com/billing_and_payment/customer_data_&_privacy/privacy_policy_and_customer_data_access,
Entergy,Utilities: Gas and Electric,Energy,Beatriz,1,0,0,standard,1,1,0,,https://www.entergy.com/privacy-policy/,
FirstEnergy,Utilities: Gas and Electric,Energy,Beatriz,1,0,0,standard,0,1,0,"same situation, contact option is regarding power outrage",https://www.firstenergycorp.com/corporate/privacy_legal_statement.html,
Berkshire Hathaway,Insurance: Property and Casualty,Financials,Beatriz,1,0,1,standard,1,1,1,,https://www.bhhs.com/privacy-policy,
JPMorgan Chase,Megabanks,Financials,Beatriz,1,0,1,standard,1,1,0,,https://www.jpmorgan.com/privacy,
Fannie Mae,Diversified Financials,Financials,Beatriz,1,0,1,standard,1,1,0,,https://www.fanniemae.com/about-us/corporate-governance/online-privacy-notice,
Bank of America,Megabanks,Financials,Beatriz,1,0,1,standard,1,1,0,,https://www.bankofamerica.com/security-center/privacy-overview/,
Wells Fargo,Banks: Commercial and Savings,Financials,Beatriz,1,0,0,standard,1,1,0,,https://www.wellsfargo.com/privacy-security/online/,
Citigroup,Megabanks,Financials,Beatriz,1,0,1,standard,1,1,1,,https://www.citigroup.com/citi/privacy.html,
State Farm Insurance,Insurance: Property and Casualty (Mutual),Financials,Beatriz,1,0,1,standard,1,1,0,,https://www.statefarm.com/customer-care/privacy-security/privacy,
Freddie Mac,Diversified Financials,Financials,Beatriz,1,0,1,standard,1,1,1,,http://www.freddiemac.com/terms/privacy.html,
MetLife,Insurance: Life and Health,Financials,Beatriz,1,0,1,standard,1,1,1,,https://www.metlife.com/about-us/privacy-policy/online-privacy-policy/,
Prudential Financial (U.S.),Insurance: Life and Health,Financials,Beatriz,1,0,1,standard,1,1,0,,https://www.prudential.com/links/privacy-policy,
Goldman Sachs Group,Megabanks,Financials,Beatriz,1,0,1,standard,1,1,1,,https://www.goldmansachs.com/privacy-and-cookies/index.html,
Morgan Stanley,Megabanks,Financials,Beatriz,1,0,1,standard,1,1,1,"specifically state that do not sell data or the past 12monthhs, although there is no optout for sales",https://www.morganstanley.com/disclaimers/us-privacy-policy-and-notice,
American International Group,Insurance: Property and Casualty (Stock),Financials,Beatriz,1,0,1,standard,1,1,0,,https://www.aig.com/privacy-policy,
American Express,Consumer Credit Card and Related Services,Financials,Beatriz,1,0,1,standard,1,1,0,,https://www.americanexpress.com/us/company/privacy-center/online-privacy-disclosures/,
Allstate,Insurance: Property and Casualty,Financials,Beatriz,1,0,1,standard,1,1,1,,https://www.allstate.com/about/privacy-statement-aic.aspx,
New York Life Insurance,Insurance: Life and Health,Financials,Beatriz,1,0,0,standard,1,1,1,,https://www.newyorklife.com/about/privacy-policy,
Nationwide,Insurance: Property and Casualty (Mutual),Financials,Beatriz,1,0,1,standard,1,1,0,,https://www.nationwide.com/personal/privacy-security/pages/privacy,
Liberty Mutual Insurance Group,Insurance: Property and Casualty (Stock),Financials,Beatriz,1,0,1,standard,1,1,0,,https://www.libertymutualgroup.com/general/about-lm/corporate-information/website-and-data-privacy,
TIAA,Insurance: Life and Health,Financials,Beatriz,1,0,1,standard,1,1,1,,https://www.tiaa.org/public/support/privacy/privacy-notice,
Progressive,Insurance: Property and Casualty,Financials,Beatriz,1,0,1,standard,1,1,0,"they sell information : ""Some of this information may be exchanged with us or other service providers for market research or to analyze and manage our advertising and marketing efforts.""",http://www.progressive.com/privacy/,
Massachusetts Mutual Life,Insurance: Life and Health,Financials,Beatriz,1,0,0,standard,1,1,0,contact option is out of privacy policy and none of the options explicit for doubts and preferences on privacy policy,https://www.massmutual.com/legal/privacy-policy,
USAA,Insurance: Property and Casualty,Financials,Beatriz,1,0,1,standard,1,1,0,,https://www.usaa.com/inet/wc/security_protect_your_personal_information,
Capital One Financial,Consumer Credit Card and Related Services,Financials,Beatriz,1,0,1,standard,1,1,0,,https://www.capitalone.com/privacy/online-privacy-policy,
StoneX Group,Diversified Financials,Financials,Beatriz,1,0,1,standard,1,1,0,sell data,https://my.stonex.com/s/privacy-policy?language=en_US,
Northwestern Mutual,Insurance: Life and Health,Financials,Beatriz,1,0,1,standard,1,1,0,,https://www.northwesternmutual.com/online-privacy-statement/,
Travelers Cos.,Insurance: Property and Casualty,Financials,Beatriz,1,0,1,standard,1,1,1,,https://www.travelers.com/about-travelers/privacy-statements,
U.S. Bancorp,Superregional Banks,Financials,Beatriz,1,0,1,standard,1,1,0,,https://www.usbank.com/about-us-bank/privacy/security.html,
CBRE Group,Real Estate,Financials,Beatriz,1,0,1,standard,1,1,0,,https://www.cbre.com/about/privacy-policy,
Aflac,Insurance: Life and Health,Financials,Beatriz,1,0,1,standard,1,1,0,,https://www.aflac.com/about-aflac/privacy-policy.aspx,
PNC Financial Services Group,Superregional Banks,Financials,Beatriz,1,0,1,standard,1,1,0,,https://www.pnc.com/en/privacy-policy.html,
Bank of New York Mellon,Commercial Banks,Financials,Beatriz,1,0,1,standard,1,1,1,,https://www.bnymellon.com/us/en/privacy-policy.html,
Hartford Financial Services Group,Insurance: Property and Casualty (Stock),Financials,Beatriz,1,0,1,standard,1,1,0,"explicitily sell ""he Hartford may disclose your information and may, in its sole discretion, transfer, sell or assign information collected on and through the Services, including your information, to one or more affiliated or nonaffiliated third parties.""",https://www.thehartford.com/online-privacy-policy,
Synchrony Financial,Diversified Financials,Financials,Beatriz,1,0,1,standard,1,1,0,"do not sell for califronia, hence if distinction is made we can assume they do sell for others",https://www.synchrony.com/privacy-policy.html,
Jones Lang LaSalle (JLL),Real Estate,Financials,Beatriz,1,0,1,standard,1,1,1,,https://www.us.jll.com/en/mobile-app-privacy-statement,
Lincoln National,"Insurance: Life, Health (stock)",Financials,Beatriz,1,0,1,standard,1,1,0,,https://www.lfg.com/public/privacy/onlineprivacypolicy,
Marsh & McLennan,Diversified Financials,Financials,Beatriz,1,0,1,standard,1,1,1,"not sell without consent, may sell ",https://www.mmc.com/privacy-statement.html,
Principal Financial,Insurance: Life and Health,Financials,Beatriz,1,0,1,standard,1,1,1,,https://www.principal.com/privacy-policies,
Loews,Insurance: Property and Casualty (Stock),Financials,Beatriz,1,0,1,standard,1,1,0,This company is a conglomerate and doesn't have a common privacy policy; the link is for Loews Hotels and not for the insurance,https://www.cna.com/web/guest/cna/privacy/privacy-policy,
Truist Financial,Superregional Banks,Financials,Beatriz,1,0,1,standard,1,1,1,this link is not Truist Financial privacy policy ,https://www.bbt.com/privacy-security.html,
BlackRock,Securities and Asset Management,Financials,Beatriz,1,0,1,standard,1,1,1,,https://www.blackrock.com/cash/en-gb/account-resources/ics-privacy-notice,
Reinsurance Group of America,"Insurance: Life, Health (stock)",Financials,Beatriz,1,0,1,standard,1,1,0,,https://www.rgare.com/privacy/web-privacy-policy,
Discover Financial Services,Commercial Banks,Financials,Beatriz,1,0,1,standard,1,1,0,,https://www.discover.com/privacy-statement/credit-cards-privacy-policy.html,
Guardian Life Ins. Co. of America,"Insurance: Life, Health (Mutual)",Financials,Beatriz,1,0,1,standard,1,1,1,,https://www.guardianlife.com/guardian-privacy-statement,
State Street,Superregional Banks,Financials,Beatriz,1,0,1,standard,1,1,1,,https://www.statestreet.com/utility/privacy-notice.html,
Ameriprise Financial,Diversified Financials,Financials,Beatriz,1,0,0,standard,1,1,0,contact not regarding privacy policy ,https://www.ameriprise.com/binaries/content/assets/ampcom/ucm/p-038885.pdf,
American Family Insurance Group,Insurance: Property and Casualty (Stock),Financials,Beatriz,1,0,1,standard,1,1,0,,https://www.amfam.com/privacy-security,
Farmers Insurance Exchange,Insurance: Property and Casualty (Mutual),Financials,Beatriz,1,0,1,standard ,1,1,0,sell PII,https://www.farmers.com/privacy-statement/,
Unum Group,"Insurance: Life, Health (stock)",Financials,Beatriz,1,0,1,standard,1,1,1,,https://www.unum.com/privacy/internet-privacy-notice,
Pacific Life,"Insurance: Life, Health (stock)",Financials,Beatriz,1,0,1,standard,1,1,1,,https://www.pacificlife.com/home/privacy-and-other-policies/our-privacy-promise.html,
Charles Schwab,Securities and Asset Management,Financials,Beatriz,1,0,1,standard,1,1,1,,https://www.schwab.com/legal/privacy,
Ally Financial,Diversified Financials,Financials,Beatriz,1,0,1,standard,1,1,0,,https://www.ally.com/privacy/,
Mutual of Omaha Insurance,"Insurance: Life, Health (stock)",Financials,Beatriz,1,0,1,standard,1,1,0,,https://www.mutualofomaha.com/legal-services,
CVS Health,Health Care: Pharmacy and Other Services,Health Care,Beatriz,1,0,1,standard,1,1,0,,https://cvshealth.com/privacy-policy,
UnitedHealth Group,Health Care: Insurance and Managed Care,Health Care,Olivier ,1,0,1,standard,1,1,0,,"https://www.unitedhealthgroup.com/privacy.html#:~:text=Protecting personal information is important,in the course of business.",
McKesson,Wholesalers: Health Care,Health Care,Olivier ,1,0,1,standard,1,1,1,,"https://www.mckesson.com/Privacy-Notice/#:~:text=We will retain your personal,disputes and enforce our agreements.",
AmerisourceBergen,Wholesalers: Health Care,Health Care,Olivier ,1,0,1,standard,1,1,1,,https://amerisourcebergen.com/global-privacy-statement,
Cigna,Health Care: Pharmacy and Other Services,Health Care,Olivier ,1,0,1,standard,1,1,1,,https://www.cigna.com/assets/docs/privacy-notices-and-forms/final-on-line-with-incentive-language.pdf?WT.z_nav=privacyinformation%3BBody%3BOnline%20and%20Mobile%20Privacy%20Statement,
Cardinal Health,Wholesalers: Health Care,Health Care,Olivier ,1,0,1,standard,1,1,0,,https://www.cardinalhealth.com/en/support/privacy-policy.html,
Anthem,Health Care: Insurance and Managed Care,Health Care,Olivier ,1,0,1,standard,1,1,0,,https://www.antheminc.com/Privacy/index.htm,
Johnson & Johnson,Pharmaceuticals,Health Care,Olivier ,1,0,1,standard,1,1,0,"Only a transparency report for Janssen, part of J&J",https://www.jnj.com/corporate/privacy-policy,
Centene,Health Care: Insurance and Managed Care,Health Care,Olivier ,1,0,1,standard,1,1,0,,https://www.centene.com/privacy-policy.html,
Humana,Health Care: Insurance and Managed Care,Health Care,Olivier ,1,0,1,Standard,0,1,0,,https://www.humana.com/legal/privacy,
Pfizer,Pharmaceuticals,Health Care,Olivier ,1,0,1,standard,1,1,1,,https://www.pfizer.com/Privacy,
HCA Healthcare,Health Care: Medical Facilities,Health Care,Olivier ,1,0,1,standard,1,0,0,,https://hcahealthcare.com/legal/index.dot#privacy-policy,
Merck,Pharmaceuticals,Health Care,Olivier ,1,0,1,standard,0,1,0,,https://www.merck.com/company-overview/policies-and-positions/,https://www.msdprivacy.com/us/en/internet-privacy-policy/
AbbVie,Pharmaceuticals,Health Care,Olivier ,1,0,1,standard,1,1,0,,https://www.abbvie.com/privacy.html,
Abbott Laboratories,Medical Products and Equipment,Health Care,Olivier ,1,0,1,standard,1,1,1,,https://www.abbott.com/privacy-policy.html,
Bristol-Myers Squibb,Pharmaceuticals,Health Care,Olivier ,1,0,1,standard,1,1,0,,https://www.bms.com/privacy-policy.html,
Amgen,Pharmaceuticals,Health Care,Olivier ,1,0,1,standard,1,1,1,,https://www.amgen.com/privacy-statement,
Gilead Sciences,Pharmaceuticals,Health Care,Olivier ,1,0,1,standard,1,1,0,,https://www.gilead.com/privacy-statements,
Eli Lilly,Pharmaceuticals,Health Care,Olivier ,1,0,1,standard,1,1,0,,https://www.lilly.com/privacy,
Danaher,Medical Products and Equipment,Health Care,Olivier ,1,0,1,standard,1,0,0,,https://www.danaher.com/sites/default/files/inline-files/Danaher%20Privacy%20Policy.pdf,
Tenet Healthcare,Health Care: Medical Facilities,Health Care,Olivier ,1,0,1,standard,1,1,0,,https://www.tenethealth.com/privacy,
BD,Medical Products and Equipment,Health Care,Olivier ,1,0,1,standard,1,1,0,,https://www.bd.com/en-us/privacy-statement,
Molina Healthcare,Health Care: Insurance and Managed Care,Health Care,Olivier ,1,0,1,Standard,1,1,0,,https://www.molinahealthcare.com/members/common/en-us/terms_privacy.aspx,
Stryker,Medical Products and Equipment,Health Care,Olivier ,1,0,1,standard,1,1,0,,https://www.stryker.com/us/en/legal/privacy.html,
Biogen,Pharmaceuticals,Health Care,Olivier ,1,0,1,standard,1,1,0,,https://www.biogen.com/en_us/privacy-policy.html,
DaVita,Health Care: Medical Facilities,Health Care,Olivier ,1,0,1,standard,1,1,0,,https://www.davita.com/privacy-policy,
Community Health Systems,Health Care: Medical Facilities,Health Care,Olivier ,1,0,0,standard,1,1,0,,https://www.chs.net/privacy_statement/,
Laboratory Corp. of America (Labcorp),Health Care: Pharmacy and Other Services,Health Care,Olivier ,1,0,1,standard,1,1,0,,https://www.labcorp.com/hipaa-privacy/website-privacy-policy,
Universal Health Services,Health Care: Medical Facilities,Health Care,Olivier ,1,0,0,standard,0,1,0,,https://www.uhsinc.com/compliance-and-ethics/uhs-privacy-policies/,https://www.uhsinc.com/wp-content/uploads/2017/10/Privacy-26.0-Disclosure-Not-Requiring-Authorization-or-Opportunity-for-Patient-to-Agree-or-Object.pdf
Baxter International,Medical Products and Equipment,Health Care,Olivier ,1,0,1,standard,1,1,0,,https://www.baxter.com/policies-positions/global-privacy-policy,
IQVIA Holdings,Health Care: Pharmacy and Other Services,Health Care,Olivier ,1,0,1,standard,1,1,1,,https://www.iqvia.com/about-us/privacy/privacy-policy,
Boston Scientific,Medical Products and Equipment,Health Care,Olivier ,1,0,1,standard,1,1,0,,https://www.bostonscientific.com/en-US/privacy-policy.html,
Procter & Gamble,Soaps and Cosmetics,Household Products,Olivier ,1,0,1,standard,1,1,0,may share information with third parties in a way that is considered a “sale”,https://www.pg.com/privacy/english/privacy_statement.shtml,
Kimberly-Clark,Soaps and Cosmetics,Household Products,Olivier ,1,0,1,standard,1,1,0,,https://www.kimberly-clark.com/en/privacy,
Colgate-Palmolive,Soaps and Cosmetics,Household Products,Olivier ,1,0,0,standard,1,0,0,,https://www.colgatepalmolive.com/en-us/legal-privacy-policy,
Estée Lauder,Soaps and Cosmetics,Household Products,Olivier ,1,0,1,standard,1,1,0,,https://www.elcompanies.com/en/privacy-policy,
Stanley Black & Decker,"Home Equipment, Furnishings",Household Products,Olivier ,1,0,1,standard,1,0,0,,https://www.stanleyblackanddecker.com/privacy-policy/global-privacy-policy,
General Electric,Industrial Machinery,Industrials,Olivier ,1,0,1,standard,1,1,1,does a hyperlink towards a general request form counts?,https://www.ge.com/privacy,
Caterpillar,Construction and Farm Machinery,Industrials,Olivier ,1,0,1,standard,1,1,0,,https://www.caterpillar.com/en/legal-notices/dataprivacy.html,
Deere,Construction and Farm Machinery,Industrials,Olivier ,1,0,1,standard,1,1,0,,https://www.deere.com/en/privacy-and-data/,
Honeywell International,Electronics,Industrials,Olivier ,1,0,1,standard,1,1,0,,https://www.honeywell.com/us/en/privacy-statement,
Paccar,Construction and Farm Machinery,Industrials,Olivier ,1,0,1,standard,1,1,0,,https://www.paccar.com/privacy.aspx,
Cummins,Industrial Machinery,Industrials,Olivier ,1,0,0,standard,1,1,0,,https://www.cummins.com/privacy-and-legal,
Whirlpool,"Home Equipment, Furnishings",Industrials,Olivier ,1,0,1,standard,1,1,0,,https://www.whirlpoolcorp.com/privacy-statement/,https://whirlpoolcorp.com/privacy-notice-united-states-and-canada/
Emerson Electric,Industrial Machinery,Industrials,Olivier ,1,0,1,standard,1,1,0,,https://www.emerson.com/en-us/privacy-notice,
Parker-Hannifin,Industrial Machinery,Industrials,Olivier ,1,0,1,standard,1,0,0,,https://www.parker.com/portal/site/PARKER/menuitem.4450f18f18c082cdfd40eae8237ad1ca/?vgnextoid=760b904cf58b2110VgnVCM100000c9040d0aRCRD,
Illinois Tool Works,Industrial Machinery,Industrials,Olivier ,1,0,1,standard,1,0,0,,https://www.itw.com/privacy-statement/,
Corning,"Electronics, Electrical Equip.",Industrials,Olivier ,1,0,1,standard,1,0,0,,https://www.corning.com/worldwide/en/privacy-policy.html,
Navistar International,Construction and Farm Machinery,Industrials,Olivier ,1,0,1,standard,0,0,0,,https://www.navistar.com/navistar/privacypolicy,
Walt Disney,Entertainment,Media,Olivier ,1,0,1,standard,0,1,1,,https://privacy.thewaltdisneycompany.com/en/current-privacy-policy/,
ViacomCBS,Entertainment,Media,Olivier ,1,0,1,standard,1,1,0,,https://www.viacomcbsprivacy.com/en/policy?r=www.viacomcbs.com,
Netflix,Entertainment,Media,Olivier ,1,1,1,Standard,1,1,0,,https://help.netflix.com/legal/privacy,
Live Nation Entertainment,Entertainment,Media,Olivier ,1,0,1,standard,1,1,0,,https://help.livenation.com/s/article/Live-Nation-Entertainment-Privacy-Policy?language=en_US,
Fox,Entertainment,Media,Olivier ,1,0,1,standard,1,1,0,,https://www.foxcorporation.com/privacy-policy/,
Discovery,Entertainment,Media,Olivier ,1,0,1,standard,1,0,0,,https://corporate.discovery.com/privacy-policy/,
Walmart,General Merchandisers,Retailing,Olivier ,1,0,1,standard,1,1,0,,https://corporate.walmart.com/privacy-security/walmart-privacy-policy,
Amazon,Internet Services and Retailing,Retailing,Olivier ,1,1,1,standard,1,1,1,,https://www.amazon.com/gp/help/customer/display.html?nodeId=GX7NJQ4ZB8MHFRNJ,
Costco Wholesale,General Merchandisers,Retailing,Olivier ,1,0,1,standard,1,1,0,,https://www.costco.com/privacy-policy.html,
Home Depot,Specialty Retailers,Retailing,Olivier ,1,0,1,Standard,1,1,1,,https://www.homedepot.com/privacy/Privacy_Security,
Target,General Merchandisers,Retailing,Olivier ,1,0,1,standard,1,1,0,,https://www.target.com/c/target-privacy-policy/-/N-4sr7p,
Lowe’s,Specialty Retailers,Retailing,Olivier ,1,0,1,standard,1,1,0,,https://www.lowes.com/l/privacy-and-security-statement.html,
Best Buy,Specialty Retailers,Retailing,Olivier ,1,0,1,standard,1,1,0,,https://www.bestbuy.com/site/help-topics/privacy-policy/pcmcat204400050062.c?id=pcmcat204400050062,https://www.bestbuy.com/site/help-topics/privacy-policy/pcmcat204400050062.c?id=pcmcat204400050062&intl=nosplash
TJX,Specialty Retailers,Retailing,Olivier ,1,0,1,standard,1,0,0,,https://www.tjx.com/privacy,
Dollar General,Specialty Retailers,Retailing,Olivier ,1,0,1,standard,1,1,0,,https://www.dollargeneral.com/privacy-policy.html,
Macy’s,General Merchandisers,Retailing,Olivier ,1,0,0,standard,0,1,0,,https://www.macysinc.com/privacy-policy,
Dollar Tree,Specialty Retailers: Other,Retailing,Olivier ,1,0,1,standard,1,1,0,,https://www.dollartree.com/privacy-policy,
Penske Automotive Group,Specialty Retailers,Retailing,Olivier ,1,0,1,standard,1,1,0,,https://www.penskeautomotive.com/privacy/privacy-policy/,
AutoNation,Specialty Retailers,Retailing,Valentina ,0,0,0,,0,1,0,Dont know if this 1 sentence counts as privacy policy.,https://www.autonation.com/about,
Kohl’s,General Merchandisers,Retailing,Valentina ,1,0,1,Standard ,1,1,0,,https://www.kohls.com/feature/privacy-policy.jsp,
CarMax,"Automotive Retailing, Services",Retailing,Valentina ,1,0,1,Standard ,1,1,1,,https://www.carmax.com/privacy-policy,
Gap,Specialty Retailers: Apparel,Retailing,Valentina ,1,0,1,Standard ,1,1,0,,https://www.gapinc.com/en-gb/careers/careers-privacy-policy,
Ross Stores,Specialty Retailers: Apparel,Retailing,Valentina ,1,0,1,Standard ,1,1,0,,https://www.rossstores.com/privacy-policy/,
Nordstrom,General Merchandisers,Retailing,Valentina ,1,0,1,Standard ,1,1,0,,https://www.nordstrom.com/browse/customer-service/policy/privacy,
Qurate Retail,Internet Services and Retailing,Retailing,Valentina ,1,0,0,Standard ,1,0,0,,http://qurateretail.com/privacy.html,
BJ's Wholesale Club,General Merchandisers,Retailing,Valentina ,1,0,0,Standard,1,0,0,no access,https://www.bjs.com/content?template=B&espot_main=about_privacy,
L Brands,Specialty Retailers: Apparel,Retailing,Valentina ,1,0,1,Standard,1,1,0,,https://www.lb.com/communication/privacy-policy,
Lithia Motors,"Automotive Retailing, Services",Retailing,Valentina ,1,0,1,Standard,1,0,0,,na,
Murphy USA,Specialty Retailers,Retailing,Valentina ,1,0,1,Standard,1,1,0,,https://www.murphyusa.com/About-Us/Terms-of-Use-and-Privacy-Policy/,
Expedia Group,Internet Services and Retailing,Retailing,Valentina ,1,0,1,Standard,1,1,0,,https://www.expediagroup.com/privacy-policy/,
Group 1 Automotive,"Automotive Retailing, Services",Retailing,Valentina ,1,0,0,Standard,1,0,0,,https://www.group1auto.com/privacy.html,
Bed Bath & Beyond,Specialty Retailers: Other,Retailing,Valentina ,1,0,1,Standard,1,1,1,,https://www.bedbathandbeyond.com/store/static/PrivacyPolicy,
AutoZone,Specialty Retailers: Other,Retailing,Valentina ,1,0,1,Standard,1,1,0,,https://www.autozone.com/lp/termsAndConditions,
J.C. Penney,General Merchandisers,Retailing,Valentina ,1,0,1,Standard,1,0,0,no access,https://www.jcpenney.com/m/privacy-notice,
ODP,Specialty Retailers: Other,Retailing,Valentina ,1,0,1,Standard,1,1,0,,https://www.officedepot.com/cm/help/privacy-statement,
Apple,Computers,Technology,Valentina ,1,1,1,Standard,1,1,1,,https://www.apple.com/legal/privacy/en-ww/,
Alphabet,Internet Services and Retailing,Technology,Valentina ,1,1,1,Standard,1,1,1,Can only access european Privacy Policy (VPN),https://abc.xyz/investor/other/google-code-of-conduct/,
Microsoft,Computer Software,Technology,Valentina ,1,1,1,gdpr,1,1,1,,https://privacy.microsoft.com/en-us/privacystatement,
Dell Technologies,Computers,Technology,Valentina ,1,0,1,Standard ,1,1,1,,https://www.delltechnologies.com/content/dam/digitalassets/active/en/unauth/quick-reference-guides/partner/Dell-EMC_Customer_Data_Terms.pdf,
IBM,Information Technology Services,Technology,Valentina ,1,1,1,Standard ,1,1,1,,https://www.ibm.com/privacy,
Intel,Semiconductors and Other Electronic Components,Technology,Valentina ,1,0,1,Standard,1,1,0,,https://www.intel.com/content/www/us/en/privacy/intel-privacy-notice.html,
