Year,ISS Company ID,Ticker,CUSIP,Meeting Date,Company Name,Resolution,Resolution Type,Other Status,Omit Reason,Sponsor Type,Support For Against
2020,121040,PFE,717081103,23/4/2020,Pfizer Inc.,Adopt Policy to Disclose a Board Diversity and Qualification Matrix,SRI,omitted,I-10,other,
2020,121040,PFE,717081103,23/4/2020,Pfizer Inc.,Report on Charitable Contributions,SRI,omitted,I-10,Individual,
2020,121040,PFE,717081103,23/4/2020,Pfizer Inc.,Report on Gender Pay Gap,SRI,final vote,NULL,other,38.14
2020,121040,PFE,717081103,23/4/2020,Pfizer Inc.,Report on Lobbying Payments and Policy,SRI,final vote,NULL,Special Interest,20.58
2020,133554,EIX,281020107,23/4/2020,Edison International,Require Shareholder Approval of Bylaw Amendments Adopted by the Board of Directors,GOV,final vote,NULL,Individual,1.75
2020,151872,TXN,882508104,23/4/2020,Texas Instruments Incorporated,Report on Feasibility of Adopting Renewable Energy Goals,SRI,withdrawn,NULL,public pension,
2020,749,ABT,002824100,24/4/2020,Abbott Laboratories,Adopt Simple Majority Vote,GOV,final vote,NULL,Individual,84.9
2020,749,ABT,002824100,24/4/2020,Abbott Laboratories,Increase Disclosure of Compensation Adjustments,GOV,final vote,NULL,public pension,30.95
2020,749,ABT,002824100,24/4/2020,Abbott Laboratories,Require Shareholder Approval of Bylaw Amendments Adopted by the Board of Directors,GOV,final vote,NULL,Individual,2.39
2020,749,ABT,002824100,24/4/2020,Abbott Laboratories,Report on Lobbying Payments and Policy,SRI,final vote,NULL,religious,19.8
2020,133543,T,00206R102,24/4/2020,AT&T Inc.,Adopt Simple Majority Vote,GOV,omitted,I-10,Individual,
2020,133543,T,00206R102,24/4/2020,AT&T Inc.,Approve Nomination of Employee Representative Director,GOV,final vote,NULL,other,7.64
2020,133543,T,00206R102,24/4/2020,AT&T Inc.,Disclose Board Diversity and Qualifications Matrix,GOV,omitted,I-10,other,
2020,133543,T,00206R102,24/4/2020,AT&T Inc.,Improve Guiding Principles of Executive Compensation,GOV,final vote,NULL,Individual,8.72
2020,133543,T,00206R102,24/4/2020,AT&T Inc.,Require Independent Board Chairman,GOV,final vote,NULL,other,40.15
2020,133543,T,00206R102,24/4/2020,AT&T Inc.,Report on Online Child Sexual Exploitation,SRI,not in proxy,NULL,religious,
2020,133543,T,00206R102,24/4/2020,AT&T Inc.,Sell CNN to Reduce Company Debt,SRI,omitted,B-2,Individual,
2020,72721,HON,438516106,27/4/2020,Honeywell International Inc.,Require Shareholder Approval of Bylaw Amendments Adopted by the Board of Directors,GOV,final vote,NULL,Individual,4.57
2020,72721,HON,438516106,27/4/2020,Honeywell International Inc.,Report on Lobbying Payments and Policy,SRI,final vote,NULL,religious,46.16
2020,10880,TFC,89832Q109,28/4/2020,Truist Financial Corporation,Require Independent Board Chairman,GOV,final vote,NULL,Individual,44.87
2020,77251,IBM,459200101,28/4/2020,International Business Machines Corporation,Adopt Stock Split,GOV,omitted,B-1,Individual,
2020,77251,IBM,459200101,28/4/2020,International Business Machines Corporation,Amend Governing Documents to allow Removal of Directors,GOV,final vote,NULL,Individual,54.46
2020,77251,IBM,459200101,28/4/2020,International Business Machines Corporation,Provide Right to Act by Written Consent,GOV,final vote,NULL,Individual,42.24
2020,77251,IBM,459200101,28/4/2020,International Business Machines Corporation,Require Independent Board Chairman,GOV,final vote,NULL,Individual,43.3
2020,164268,WFC,949746101,28/4/2020,Wells Fargo & Company,Report on Impact of Mandatory Arbitration Policies,GOV,withdrawn,NULL,Individual,
2020,164268,WFC,949746101,28/4/2020,Wells Fargo & Company,Report on Incentive-Based Compensation and Risks of Material Losses,GOV,final vote,NULL,Individual,23.35
2020,164268,WFC,949746101,28/4/2020,Wells Fargo & Company,Require Shareholder Approval of Bylaw Amendments Adopted by the Board of Directors,GOV,final vote,NULL,Individual,3.26
2020,164268,WFC,949746101,28/4/2020,Wells Fargo & Company,Assess the Feasibility of Becoming a Delaware Public Benefit Corporation,SRI,withdrawn,NULL,company,
2020,164268,WFC,949746101,28/4/2020,Wells Fargo & Company,Report on GHG Emissions Targets Aligned with Paris Agreement Goals,SRI,withdrawn,NULL,company||other||religious,
2020,164268,WFC,949746101,28/4/2020,Wells Fargo & Company,Report on Global Median Gender Pay Gap,SRI,final vote,NULL,Individual,9.36
2020,517742,CHTR,16119P108,28/4/2020,"Charter Communications, Inc.",Require Independent Board Chairman,GOV,final vote,NULL,public pension,23.55
2020,517742,CHTR,16119P108,28/4/2020,"Charter Communications, Inc.",Report on Sustainability,SRI,withdrawn,NULL,other,
2020,531291,CNC,15135B101,28/4/2020,Centene Corporation,Eliminate Supermajority Vote Requirement,GOV,final vote,NULL,Individual,93.88
2020,531291,CNC,15135B101,28/4/2020,Centene Corporation,Report on Political Contributions Disclosure,SRI,final vote,NULL,other,51.35
2020,83226,KMB,494368103,29/4/2020,Kimberly-Clark Corporation,Provide Right to Act by Written Consent,GOV,final vote,NULL,Individual,49.85
2020,606619,MPC,56585A102,29/4/2020,Marathon Petroleum Corporation,Adopt Simple Majority Vote,GOV,final vote,NULL,Individual,98.5
2020,606619,MPC,56585A102,29/4/2020,Marathon Petroleum Corporation,Report on Integrating Community Impacts Into Executive Compensation Program,GOV,final vote,NULL,other,7.8
2020,606619,MPC,56585A102,29/4/2020,Marathon Petroleum Corporation,Require Independent Board Chair,GOV,withdrawn,NULL,union,
2020,606619,MPC,56585A102,29/4/2020,Marathon Petroleum Corporation,Report on Strategy for Aligning with 2 Degree Scenario,SRI,withdrawn,NULL,religious,
2020,24476,COF,14040H105,30/4/2020,Capital One Financial Corporation,Require Independent Board Chairman,GOV,final vote,NULL,Individual,33
2020,24476,COF,14040H105,30/4/2020,Capital One Financial Corporation,Strengthen Ownership Guidelines & Holding Requirements,GOV,withdrawn,NULL,Special Interest,
2020,515391,GS,38141G104,30/4/2020,"The Goldman Sachs Group, Inc.",Provide Right to Act by Written Consent,GOV,final vote,NULL,Individual,42.72
2020,515391,GS,38141G104,30/4/2020,"The Goldman Sachs Group, Inc.",Review of Statement on the Purpose of a Corporation,GOV,final vote,NULL,Individual,6.01
2020,515391,GS,38141G104,30/4/2020,"The Goldman Sachs Group, Inc.",Report on Greenhouse Gas Emissions Disclosure,SRI,withdrawn,NULL,Special Interest,
2020,565322,LDOS,525327102,1/5/2020,"Leidos Holdings, Inc.",Amend Proxy Access Right,GOV,final vote,NULL,Individual,34.33
2020,604778,HCA,40412C101,1/5/2020,"HCA Healthcare, Inc.",Provide Right to Act by Written Consent,GOV,final vote,NULL,Individual,19.35
2020,15501,BRK.B,084670702,2/5/2020,Berkshire Hathaway Inc.,Adopt a Policy on Board Diversity,GOV,final vote,NULL,fund||public pension,12.34
2020,88891,LLY,532457108,4/5/2020,Eli Lilly and Company,Adopt Policy on Bonus Banking,GOV,final vote,NULL,other,31.16
2020,88891,LLY,532457108,4/5/2020,Eli Lilly and Company,Clawback Disclosure of Recoupment Activity from Senior Officers,GOV,final vote,NULL,religious,35.1
2020,88891,LLY,532457108,4/5/2020,Eli Lilly and Company,Reduce Supermajority Vote Requirement,GOV,omitted,I-10,Individual,
2020,88891,LLY,532457108,4/5/2020,Eli Lilly and Company,Report on Integrating Drug Pricing Risks into Senior Executive Compensation Arrangements,GOV,final vote,NULL,religious,24.47
2020,88891,LLY,532457108,4/5/2020,Eli Lilly and Company,Require Independent Board Chairman,GOV,final vote,NULL,religious,33.95
2020,88891,LLY,532457108,4/5/2020,Eli Lilly and Company,Disclose Board Matrix Including Ideological Perspectives,SRI,final vote,NULL,other,1.03
2020,88891,LLY,532457108,4/5/2020,Eli Lilly and Company,Report on Forced Swim Test,SRI,final vote,NULL,Special Interest,3.43
2020,88891,LLY,532457108,4/5/2020,Eli Lilly and Company,Report on Lobbying Payments and Policy,SRI,final vote,NULL,union,29.7
2020,5191,AXP,025816109,5/5/2020,American Express Company,Provide Right to Act by Written Consent,GOV,final vote,NULL,Individual,35.79
2020,5191,AXP,025816109,5/5/2020,American Express Company,Report on Gender/Racial Pay Gap,SRI,final vote,NULL,Individual,8.62
2020,13727,BAX,071813109,5/5/2020,Baxter International Inc.,Provide Right to Act by Written Consent,GOV,final vote,NULL,Individual,38.55
2020,13727,BAX,071813109,5/5/2020,Baxter International Inc.,Require Independent Board Chair,GOV,final vote,NULL,Individual,55
2020,19348,BMY,110122108,5/5/2020,Bristol-Myers Squibb Company,Consider Extraordinary Legal Costs in Executive Pay Metrics,GOV,omitted,I-7,public pension,
2020,19348,BMY,110122108,5/5/2020,Bristol-Myers Squibb Company,Provide Right to Act by Written Consent,GOV,final vote,NULL,Individual,43.49
2020,19348,BMY,110122108,5/5/2020,Bristol-Myers Squibb Company,Require Independent Board Chairman,GOV,final vote,NULL,religious,44.6
2020,40005,DHR,235851102,5/5/2020,Danaher Corporation,Reduce Ownership Threshold for Shareholders to Call Special Meeting,GOV,final vote,NULL,Individual,40.79
2020,61715,GE,369604103,5/5/2020,General Electric Company,Require Independent Board Chairman,GOV,final vote,NULL,Individual,25.98
2020,61715,GE,369604103,5/5/2020,General Electric Company,Restore or Provide for Cumulative Voting,GOV,omitted,I-4,Individual,
2020,61715,GE,369604103,5/5/2020,General Electric Company,Report on Plans to Reduce Carbon Footprint Aligned with Paris Agreement Goals,SRI,withdrawn,NULL,fund||Individual||other||religious,
2020,147528,SYK,863667101,5/5/2020,Stryker Corporation,Assess Feasibility of Including Sustainability as a Performance Measure for Senior Executive Compensation,GOV,withdrawn,NULL,SRI fund,
2020,147528,SYK,863667101,5/5/2020,Stryker Corporation,Report on Non-Management Employee Representation on the Board of Directors,GOV,final vote,NULL,SRI fund,6.2
2020,513073,SRE,816851109,5/5/2020,Sempra Energy,Require Independent Board Chair,GOV,final vote,NULL,Individual,38.28
2020,513073,SRE,816851109,5/5/2020,Sempra Energy,Report on Stranded Carbon Asset Risks,SRI,omitted,I-10,fund||other||religious,
2020,21890,CSX,126408103,6/5/2020,CSX Corporation,Set Sufficient Funding On How the Company Can Best Atone On Its Participation in Slavery,SRI,omitted,I-7,Individual,
2020,43735,D,25746U109,6/5/2020,"Dominion Energy, Inc.",Provide Right to Act by Written Consent,GOV,final vote,NULL,other,31.16
2020,43735,D,25746U109,6/5/2020,"Dominion Energy, Inc.",Require Independent Board Chairman,GOV,final vote,NULL,public pension,46.61
2020,43735,D,25746U109,6/5/2020,"Dominion Energy, Inc.",Improve Human Rights Standards or Policies,SRI,omitted,I-10,Individual,
2020,43735,D,25746U109,6/5/2020,"Dominion Energy, Inc.",Report on Stranded Carbon Asset Risks,SRI,omitted,I-10,Individual||other,
2020,62672,GILD,375558103,6/5/2020,"Gilead Sciences, Inc.",Adopt Policy on Bonus Banking.,GOV,not in proxy,NULL,fund,
2020,62672,GILD,375558103,6/5/2020,"Gilead Sciences, Inc.",Eliminate the Ownership Threshold for Stockholders to Request a Record Date to Take Action by Written Consent,GOV,final vote,NULL,Individual,9.48
2020,62672,GILD,375558103,6/5/2020,"Gilead Sciences, Inc.",Require Independent Board Chair,GOV,final vote,NULL,other,43.53
2020,62672,GILD,375558103,6/5/2020,"Gilead Sciences, Inc.",Prepare Employment Diversity Report,SRI,withdrawn,NULL,Special Interest,
2020,613536,PSX,718546104,6/5/2020,Phillips 66,Political Lobbying Disclosure,SRI,withdrawn,NULL,other,
2020,613536,PSX,718546104,6/5/2020,Phillips 66,Report on Risks of Gulf Coast Petrochemical Investments,SRI,final vote,NULL,Special Interest,54.7
2020,18106,BSX,101137107,7/5/2020,Boston Scientific Corporation,Report on Non-Management Employee Representation on the Board of Directors,GOV,final vote,NULL,SRI fund,3.93
2020,39548,DTE,233331107,7/5/2020,DTE Energy Company,Report on Political Contributions,SRI,final vote,NULL,religious,36.5
2020,44805,DUK,26441C204,7/5/2020,Duke Energy Corporation,Eliminate Supermajority Vote Requirement,GOV,final vote,NULL,Individual,94.2
2020,44805,DUK,26441C204,7/5/2020,Duke Energy Corporation,Require Independent Board Chairman,GOV,final vote,NULL,fund||public pension,40.12
2020,44805,DUK,26441C204,7/5/2020,Duke Energy Corporation,Report on Lobbying Payments and Policy,SRI,final vote,NULL,religious,42.44
2020,44805,DUK,26441C204,7/5/2020,Duke Energy Corporation,Report on Mitigating Health and Climate Impacts of Duke Energy's Coal Use,SRI,withdrawn,NULL,religious,
2020,44805,DUK,26441C204,7/5/2020,Duke Energy Corporation,Report on Political Contributions,SRI,final vote,NULL,public pension,38.86
2020,44805,DUK,26441C204,7/5/2020,Duke Energy Corporation,Report on Stranded Carbon Asset Risks,SRI,withdrawn,NULL,Special Interest,
2020,522946,VZ,92343V104,7/5/2020,Verizon Communications Inc.,Assess Feasibility of Cyber Security and Data Privacy as a Performance Measure for Senior Executive Compensation,GOV,final vote,NULL,SRI fund,30.96
2020,522946,VZ,92343V104,7/5/2020,Verizon Communications Inc.,Eliminate Above-Market Earnings in Executive Retirement Plans,GOV,final vote,NULL,other,31.06
2020,522946,VZ,92343V104,7/5/2020,Verizon Communications Inc.,Reduce Ownership Threshold for Shareholders to Call Special Meeting,GOV,final vote,NULL,other,52.3
2020,522946,VZ,92343V104,7/5/2020,Verizon Communications Inc.,Submit Severance Agreement (Change-in-Control) to Shareholder Vote,GOV,final vote,NULL,other,43.46
2020,522946,VZ,92343V104,7/5/2020,Verizon Communications Inc.,Cease Deployment of 5G Technology,SRI,omitted,B-1,Individual,
2020,522946,VZ,92343V104,7/5/2020,Verizon Communications Inc.,Report on Lobbying Payments and Policy,SRI,final vote,NULL,other,46.99
2020,522946,VZ,92343V104,7/5/2020,Verizon Communications Inc.,Report on Online Child Sexual Exploitation,SRI,not in proxy,NULL,religious,
2020,32396,CL,194162103,8/5/2020,Colgate-Palmolive Company,Reduce Ownership Threshold for Shareholders to Call Special Meeting,GOV,final vote,NULL,Individual,45.37
2020,32396,CL,194162103,8/5/2020,Colgate-Palmolive Company,Require Independent Board Chairman,GOV,final vote,NULL,Individual,46.07
2020,49195,ETR,29364G103,8/5/2020,Entergy Corporation,Report on Climate-Related Water Risk,SRI,withdrawn,NULL,Special Interest,
2020,75161,ITW,452308109,8/5/2020,Illinois Tool Works Inc.,Provide Right to Act by Written Consent,GOV,final vote,NULL,Individual,35.56
2020,125823,PGR,743315103,8/5/2020,The Progressive Corporation,Report on Risks of Policies affecting Reproductive Rights,SRI,withdrawn,NULL,fund||other,
2020,620364,ABBV,00287Y109,8/5/2020,AbbVie Inc.,Report on Integrating Risks Related to Drug Pricing into Senior Executive Compensation,GOV,final vote,NULL,other,24.39
2020,620364,ABBV,00287Y109,8/5/2020,AbbVie Inc.,Require Independent Board Chairman,GOV,final vote,NULL,company,27.7
2020,620364,ABBV,00287Y109,8/5/2020,AbbVie Inc.,Report on Lobbying Payments and Policy,SRI,final vote,NULL,Individual,29.73
2020,38926,CMI,231021106,12/5/2020,Cummins Inc.,Require Shareholder Approval of Bylaw Amendments Adopted by the Board of Directors,GOV,final vote,NULL,other,4.97
2020,71167,HPQ,40434L105,12/5/2020,HP Inc.,Provide Right to Act by Written Consent,GOV,final vote,NULL,Individual,49.99
2020,71167,HPQ,40434L105,12/5/2020,HP Inc.,Report on Reduction in Profit for FY19,SRI,omitted,I-7,Individual,
2020,89979,L,540424108,12/5/2020,Loews Corporation,Report on Political Contributions,SRI,final vote,NULL,other,32.27
2020,137775,SCHW,808513105,12/5/2020,The Charles Schwab Corporation,Adopt Policy to Annually Disclose EEO-1 Data,SRI,final vote,NULL,fund||public pension,42.6
2020,137775,SCHW,808513105,12/5/2020,The Charles Schwab Corporation,Report on Lobbying Payments and Policy,SRI,final vote,NULL,other,34.71
2020,513289,WM,94106L109,12/5/2020,"Waste Management, Inc.",Report on Plastic Pollution,SRI,withdrawn,NULL,SRI fund,
2020,531297,PRU,744320102,12/5/2020,"Prudential Financial, Inc.",Require Independent Board Chairman,GOV,final vote,NULL,Individual,47.35
2020,531297,PRU,744320102,12/5/2020,"Prudential Financial, Inc.","Engage the Services of RDS Services, LLC",SRI,withdrawn,NULL,Individual,
2020,535271,COP,20825C104,12/5/2020,ConocoPhillips,Report on GHG Emissions Targets Aligned with Paris Agreement Goals,SRI,omitted,E-2,other,
2020,3814,LH,50540R409,13/5/2020,Laboratory Corporation of America Holdings,Reduce Ownership Threshold for Shareholders to Call Special Meeting,GOV,final vote,NULL,Individual,53.35
2020,5492,AIG,026874784,13/5/2020,"American International Group, Inc.",Reduce Ownership Threshold for Shareholders to Call Special Meeting,GOV,final vote,NULL,other,43.99
2020,72228,HFC,436106108,13/5/2020,HollyFrontier Corporation,Report on Tier 1 Process Safety Events,SRI,withdrawn,NULL,company,
2020,84074,KSS,500255104,13/5/2020,Kohls Corporation,Provide Right to Act by Written Consent,GOV,final vote,NULL,Individual,7.33
2020,84074,KSS,500255104,13/5/2020,Kohls Corporation,Adopt Vendor Policy Regarding Oversight on Animal Welfare Throughout the Supply Chain,SRI,final vote,NULL,SRI fund,5.13
2020,84074,KSS,500255104,13/5/2020,Kohls Corporation,Report on Human Rights Risk Assessment Process,SRI,omitted,I-10,religious,
2020,11475,BKR,05722G100,14/5/2020,Baker Hughes Company,Report on Climate-Related Water Risk,SRI,withdrawn,NULL,Special Interest,
2020,21959,CVS,126650100,14/5/2020,CVS Health Corporation,Amend Shareholder Written Consent Provisions,GOV,final vote,NULL,Individual,15.76
2020,21959,CVS,126650100,14/5/2020,CVS Health Corporation,Establish Deferral Period for Senior Executive Bonuses,GOV,not in proxy,NULL,fund,
2020,21959,CVS,126650100,14/5/2020,CVS Health Corporation,Require Independent Board Chairman,GOV,final vote,NULL,Individual,20.62
2020,21959,CVS,126650100,14/5/2020,CVS Health Corporation,Report on Arbitration of Employment-Related Claims,SRI,omitted,I-7,fund||public pension,
2020,21959,CVS,126650100,14/5/2020,CVS Health Corporation,Report on Sustainable Packaging,SRI,withdrawn,NULL,SRI fund,
2020,28832,UNP,907818108,14/5/2020,Union Pacific Corporation,Require Independent Board Chairman,GOV,final vote,NULL,Individual,28.78
2020,28832,UNP,907818108,14/5/2020,Union Pacific Corporation,Report on Climate Change,SRI,final vote,NULL,Individual,18.78
2020,76759,INTC,458140100,14/5/2020,Intel Corporation,Provide Right to Act by Written Consent,GOV,final vote,NULL,Individual,41.66
2020,76759,INTC,458140100,14/5/2020,Intel Corporation,Refrain from Publicly Displaying the Pride Flag,SRI,omitted,I-7,Individual,
2020,76759,INTC,458140100,14/5/2020,Intel Corporation,Report on Global Median Gender/Racial Pay Gap,SRI,final vote,NULL,Individual,9.03
2020,88926,LB,501797104,14/5/2020,"L Brands, Inc.",Board Diversity,GOV,withdrawn,NULL,public pension,
2020,88926,LB,501797104,14/5/2020,"L Brands, Inc.",Declassify the Board of Directors,GOV,omitted,I-10,Individual,
2020,109698,NSC,655844108,14/5/2020,Norfolk Southern Corporation,Provide Right to Act by Written Consent,GOV,final vote,NULL,Individual,12.92
2020,109698,NSC,655844108,14/5/2020,Norfolk Southern Corporation,Develop a Program To Reduce Delays on Trains,SRI,omitted,I-7,Individual,
2020,520388,UPS,911312106,14/5/2020,"United Parcel Service, Inc.",Approve Recapitalization Plan for all Stock to Have One-vote per Share,GOV,final vote,NULL,Individual,29.41
2020,520388,UPS,911312106,14/5/2020,"United Parcel Service, Inc.",Report on Climate Change,SRI,final vote,NULL,company||fund||other,29.6
2020,520388,UPS,911312106,14/5/2020,"United Parcel Service, Inc.",Report on Lobbying Payments and Policy,SRI,final vote,NULL,company,23.53
2020,530009,XPO,983793100,14/5/2020,"XPO Logistics, Inc.",Limit Accelerated Vesting of Equity Awards Upon a Change in Control,GOV,final vote,NULL,union,16.09
2020,530009,XPO,983793100,14/5/2020,"XPO Logistics, Inc.",Report on Integrating ESG Metrics Into Executive Compensation Program,GOV,final vote,NULL,public pension,20.65
2020,530009,XPO,983793100,14/5/2020,"XPO Logistics, Inc.",Require Independent Board Chair,GOV,final vote,NULL,fund,19.21
