firm,type,share_percent
Comcast Corporation,"Public authority, state, government",2.6799999999999997
Comcast Corporation,Venture capital,0.11
Community Health Systems Inc,Bank,35.959999999999994
Community Health Systems Inc,Corporate,17.919999999999998
Community Health Systems Inc,Financial company,16.02
Community Health Systems Inc,Hedge fund,0.41
Community Health Systems Inc,Insurance company,0.9
Community Health Systems Inc,"Mutual and pension fund, nominee, trust, trustee",7.48
Community Health Systems Inc,One or more named individuals or families,22.99
Community Health Systems Inc,Private equity firm,3.08
Community Health Systems Inc,"Public authority, state, government",1.31
Community Health Systems Inc,Venture capital,0.24
Conocophillips,Bank,35.87000000000001
Conocophillips,Corporate,11.250000000000002
Conocophillips,Financial company,12.58
Conocophillips,Insurance company,4.2299999999999995
Conocophillips,"Mutual and pension fund, nominee, trust, trustee",2.6800000000000006
Conocophillips,Private equity firm,0.64
Conocophillips,"Public authority, state, government",2.65
Conocophillips,Venture capital,0.15
"Consolidated Edison, Inc.",Bank,30.320000000000007
"Consolidated Edison, Inc.",Corporate,6.9799999999999995
"Consolidated Edison, Inc.",Financial company,10.909999999999998
"Consolidated Edison, Inc.",Insurance company,3.7600000000000002
"Consolidated Edison, Inc.","Mutual and pension fund, nominee, trust, trustee",3.4699999999999993
"Consolidated Edison, Inc.",Private equity firm,0.36
"Consolidated Edison, Inc.","Public authority, state, government",3.1400000000000006
"Consolidated Edison, Inc.",Venture capital,0.1
Corning Inc,Bank,34.25999999999999
Corning Inc,Corporate,12.259999999999998
Corning Inc,Financial company,18.02
Corning Inc,Insurance company,3.5900000000000003
Corning Inc,"Mutual and pension fund, nominee, trust, trustee",2.98
Corning Inc,Private equity firm,0.49
Corning Inc,"Public authority, state, government",2.5799999999999996
Costco Wholesale Corp,Bank,22.770000000000007
Costco Wholesale Corp,Corporate,10.82
Costco Wholesale Corp,Financial company,3.2700000000000005
Costco Wholesale Corp,Insurance company,3.6300000000000003
Costco Wholesale Corp,"Mutual and pension fund, nominee, trust, trustee",3.09
Costco Wholesale Corp,Private equity firm,1.0
Costco Wholesale Corp,"Public authority, state, government",2.56
Csx Corp,Bank,26.909999999999997
Csx Corp,Corporate,23.29000000000001
Csx Corp,Financial company,12.61
Csx Corp,Hedge fund,0.17
Csx Corp,Insurance company,2.7
Csx Corp,"Mutual and pension fund, nominee, trust, trustee",3.6999999999999997
Csx Corp,Private equity firm,0.33
Csx Corp,"Public authority, state, government",2.26
Cummins Inc.,Bank,40.799999999999976
Cummins Inc.,Corporate,14.199999999999996
Cummins Inc.,Financial company,19.38
Cummins Inc.,Insurance company,5.050000000000001
Cummins Inc.,"Mutual and pension fund, nominee, trust, trustee",4.179999999999999
Cummins Inc.,Private equity firm,0.15
Cummins Inc.,"Public authority, state, government",2.48
Cummins Inc.,Venture capital,0.26
Cvs Health Corporation,Bank,36.74
Cvs Health Corporation,Corporate,11.78
Cvs Health Corporation,Financial company,12.879999999999999
Cvs Health Corporation,Insurance company,2.3899999999999997
Cvs Health Corporation,"Mutual and pension fund, nominee, trust, trustee",2.27
Cvs Health Corporation,Private equity firm,0.54
Cvs Health Corporation,"Public authority, state, government",3.36
Danaher Corp,Bank,27.279999999999998
Danaher Corp,Corporate,14.549999999999999
Danaher Corp,Financial company,5.83
Danaher Corp,Insurance company,3.54
Danaher Corp,"Mutual and pension fund, nominee, trust, trustee",3.1699999999999995
Danaher Corp,One or more named individuals or families,0.0
Danaher Corp,Private equity firm,0.67
Danaher Corp,"Public authority, state, government",2.72
Davita Inc.,Bank,31.13
Davita Inc.,Corporate,6.930000000000001
Davita Inc.,Financial company,13.439999999999996
Davita Inc.,Insurance company,31.54
Davita Inc.,"Mutual and pension fund, nominee, trust, trustee",5.449999999999999
Davita Inc.,Private equity firm,2.78
Davita Inc.,"Public authority, state, government",4.63
Davita Inc.,Venture capital,0.13
Deere & Co,Bank,26.269999999999996
Deere & Co,Corporate,7.000000000000001
Deere & Co,Financial company,6.449999999999999
Deere & Co,Hedge fund,0.11
Deere & Co,Insurance company,2.8600000000000003
Deere & Co,"Mutual and pension fund, nominee, trust, trustee",1.8899999999999997
Deere & Co,Private equity firm,0.39
Deere & Co,"Public authority, state, government",2.52
Deere & Co,Venture capital,0.0
"Delta Air Lines, Inc.",Bank,21.289999999999996
"Delta Air Lines, Inc.",Corporate,14.630000000000004
"Delta Air Lines, Inc.",Financial company,19.500000000000004
"Delta Air Lines, Inc.",Hedge fund,0.6000000000000001
"Delta Air Lines, Inc.",Insurance company,2.97
"Delta Air Lines, Inc.","Mutual and pension fund, nominee, trust, trustee",5.590000000000001
"Delta Air Lines, Inc.",Private equity firm,1.6000000000000003
"Delta Air Lines, Inc.","Public authority, state, government",1.9600000000000006
"Delta Air Lines, Inc.",Venture capital,0.17
Discover Financial Services,Bank,35.99000000000001
Discover Financial Services,Corporate,19.590000000000007
Discover Financial Services,Financial company,24.200000000000003
Discover Financial Services,Hedge fund,0.66
Discover Financial Services,Insurance company,2.6
Discover Financial Services,"Mutual and pension fund, nominee, trust, trustee",5.23
Discover Financial Services,One or more named individuals or families,1.64
Discover Financial Services,Private equity firm,0.38
Discover Financial Services,"Public authority, state, government",2.6899999999999995
Discover Financial Services,Venture capital,0.12
"Discovery, Inc.",Bank,49.78
"Discovery, Inc.",Corporate,36.16000000000001
"Discovery, Inc.",Financial company,19.800000000000008
"Discovery, Inc.",Insurance company,1.77
"Discovery, Inc.","Mutual and pension fund, nominee, trust, trustee",5.780000000000003
"Discovery, Inc.",One or more named individuals or families,0.0
"Discovery, Inc.",Private equity firm,1.61
"Discovery, Inc.","Public authority, state, government",3.6
Dish Network Corporation,Bank,14.829999999999998
Dish Network Corporation,Corporate,5.460000000000001
Dish Network Corporation,Financial company,12.77
Dish Network Corporation,Insurance company,1.01
Dish Network Corporation,"Mutual and pension fund, nominee, trust, trustee",2.7700000000000005
Dish Network Corporation,One or more named individuals or families,90.4
Dish Network Corporation,Private equity firm,0.13
Dish Network Corporation,"Public authority, state, government",0.43000000000000005
Dollar General Corp,Bank,40.899999999999984
Dollar General Corp,Corporate,15.42
Dollar General Corp,Financial company,14.749999999999998
Dollar General Corp,"Foundation, research Institute",0.66
Dollar General Corp,Hedge fund,0.0
Dollar General Corp,Insurance company,5.26
Dollar General Corp,"Mutual and pension fund, nominee, trust, trustee",7.160000000000001
Dollar General Corp,One or more named individuals or families,0.19
Dollar General Corp,Private equity firm,0.51
Dollar General Corp,"Public authority, state, government",5.0600000000000005
Dollar General Corp,Venture capital,0.24
"Dollar Tree, Inc.",Bank,40.409999999999975
"Dollar Tree, Inc.",Corporate,21.549999999999997
"Dollar Tree, Inc.",Financial company,21.479999999999993
"Dollar Tree, Inc.",Hedge fund,0.0
"Dollar Tree, Inc.",Insurance company,3.0900000000000003
